sweep_mode,bits,q_format,base_q_format,m,n,base_n,target_group,eval_mode,num_eval_files,pesq,estoi,sisnr,sdr,rtf,wall_time_seconds,audio_seconds,calib_seconds,calib_files
global,16,Q2.13,Q2.13,2,13,13,__all__,fake,50.0,1.72708172082901,,,,0.08219089150880311,9.856722116470337,119.92475,14.93642807006836,100
global,16,Q1.14,Q1.14,1,14,14,__all__,fake,50.0,1.7270661067962647,,,,0.08086329735354308,9.697510719299316,119.92475,12.525376319885254,100
global,16,Q0.15,Q0.15,0,15,15,__all__,fake,50.0,1.7270652318000794,,,,0.08069625986531723,9.677478790283203,119.92475,12.611598014831543,100
