sweep_mode,bits,q_format,base_q_format,m,n,base_n,target_group,eval_mode,num_eval_files,pesq,estoi,sisnr,sdr,rtf,wall_time_seconds,audio_seconds,calib_seconds,calib_files
global,16,Q10.5,Q10.5,10,5,5,__all__,fake,50.0,2.4108360505104063,,,,0.08297636730516819,9.950920104980469,119.92475,16.074519634246826,100
global,16,Q9.6,Q9.6,9,6,6,__all__,fake,50.0,2.41400030374527,,,,0.0804320396403984,9.645792245864868,119.92475,12.79718804359436,100
global,16,Q8.7,Q8.7,8,7,7,__all__,fake,50.0,2.4550392913818357,,,,0.08086713631319274,9.697971105575562,119.92475,12.344907522201538,100
