module_name	role	fake_quant	observer	dtype	qscheme	quant_min	quant_max	bits	channel_axis	scale_shape	scale_min	scale_max	scale_sample	zero_point_shape	zero_point_min	zero_point_max	zero_point_sample
encoder.en_convs.3.point_conv2.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	8	0.002658627927303314	0.005338524933904409	[0.00519933,0.00396762,0.00533852,0.00393421,0.00288149,0.00265863,0.00482005,0.00362867]	8	0	0	[0,0,0,0,0,0,0,0]
encoder.en_convs.3.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.21659088134765625	0.21659088134765625	[0.216591]	1	67	67	[67]
encoder.en_convs.3.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.18148526549339294	0.18148526549339294	[0.181485]	1	11	11	[11]
encoder.en_convs.4.point_conv1.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.005646785721182823	0.02105364017188549	[0.0172034,0.0115835,0.00631142,0.0108849,0.00564679,0.0199575,0.0129307,0.00823666,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.4.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.37351006269454956	0.37351006269454956	[0.37351]	1	70	70	[70]
encoder.en_convs.4.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.14872100949287415	0.14872100949287415	[0.148721]	1	35	35	[35]
encoder.en_convs.4.depth_conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0027258533518761396	0.022494226694107056	[0.00581467,0.00272585,0.0172779,0.00526886,0.0118699,0.00508139,0.00536938,0.0224942,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.4.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.25156792998313904	0.25156792998313904	[0.251568]	1	48	48	[48]
encoder.en_convs.4.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.16975714266300201	0.16975714266300201	[0.169757]	1	7	7	[7]
encoder.en_convs.4.point_conv2.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	8	0.0030021765269339085	0.005380698945373297	[0.0053807,0.00382817,0.00300218,0.00335452,0.0041819,0.00336061,0.00350452,0.00336876]	8	0	0	[0,0,0,0,0,0,0,0]
