module_name	role	fake_quant	observer	dtype	qscheme	quant_min	quant_max	bits	channel_axis	scale_shape	scale_min	scale_max	scale_sample	zero_point_shape	zero_point_min	zero_point_max	zero_point_sample
encoder.en_convs.3.point_conv2.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	8	0.0025771993678063154	0.005644113291054964	[0.00373354,0.00392074,0.00564411,0.00321583,0.00318779,0.00276158,0.00438039,0.0025772]	8	0	0	[0,0,0,0,0,0,0,0]
encoder.en_convs.3.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.20472969114780426	0.20472969114780426	[0.20473]	1	63	63	[63]
encoder.en_convs.3.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.19662292301654816	0.19662292301654816	[0.196623]	1	20	20	[20]
encoder.en_convs.4.point_conv1.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.005069569684565067	0.02127305045723915	[0.0179245,0.0101577,0.00573544,0.0101016,0.00574421,0.019986,0.0113495,0.00729149,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.4.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.3588702082633972	0.3588702082633972	[0.35887]	1	69	69	[69]
encoder.en_convs.4.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.13805881142616272	0.13805881142616272	[0.138059]	1	30	30	[30]
encoder.en_convs.4.depth_conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0027256093453615904	0.021627549082040787	[0.00317254,0.00272561,0.00701302,0.00479487,0.011247,0.00550928,0.00533942,0.0216275,...]	16	-128	0	[0,0,-128,0,0,0,0,0,...]
encoder.en_convs.4.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.2426101565361023	0.2426101565361023	[0.24261]	1	48	48	[48]
encoder.en_convs.4.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.16951628029346466	0.16951628029346466	[0.169516]	1	8	8	[8]
encoder.en_convs.4.point_conv2.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	8	0.002482260577380657	0.004924524575471878	[0.00492452,0.00308089,0.00261367,0.00329238,0.00466273,0.00248226,0.00354985,0.003919]	8	0	0	[0,0,0,0,0,0,0,0]
encoder.en_convs.4.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.17082661390304565	0.17082661390304565	[0.170827]	1	68	68	[68]
encoder.en_convs.4.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.18107302486896515	0.18107302486896515	[0.181073]	1	27	27	[27]
decoder.de_convs.0.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.529501736164093	0.529501736164093	[0.529502]	1	58	58	[58]
decoder.de_convs.0.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.2652858793735504	0.2652858793735504	[0.265286]	1	64	64	[64]
decoder.de_convs.0.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.24448540806770325	0.24448540806770325	[0.244485]	1	40	40	[40]
decoder.de_convs.0.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.06575482338666916	0.06575482338666916	[0.0657548]	1	4	4	[4]
decoder.de_convs.0.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.19875100255012512	0.19875100255012512	[0.198751]	1	54	54	[54]
decoder.de_convs.0.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.11099467426538467	0.11099467426538467	[0.110995]	1	50	50	[50]
decoder.de_convs.1.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.8902110457420349	0.8902110457420349	[0.890211]	1	72	72	[72]
decoder.de_convs.1.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.3070718050003052	0.3070718050003052	[0.307072]	1	47	47	[47]
decoder.de_convs.1.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.6094598174095154	0.6094598174095154	[0.60946]	1	86	86	[86]
decoder.de_convs.1.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.0837913304567337	0.0837913304567337	[0.0837913]	1	43	43	[43]
decoder.de_convs.1.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.11551320552825928	0.11551320552825928	[0.115513]	1	53	53	[53]
