sweep_mode,bits,q_format,base_q_format,m,n,base_n,target_group,eval_mode,num_eval_files,pesq,estoi,sisnr,sdr,rtf,wall_time_seconds,audio_seconds,calib_seconds,calib_files
global,16,Q8.7,Q8.7,8,7,7,__all__,fake,50.0,2.4620845413208006,,,,0.08248076377740891,9.89148497581482,119.92475,14.59189510345459,100
global,16,Q7.8,Q7.8,7,8,8,__all__,fake,50.0,2.4615108966827393,,,,0.08194748635769676,9.827531814575195,119.92475,12.209898710250854,100
global,16,Q6.9,Q6.9,6,9,9,__all__,fake,50.0,2.4615941309928893,,,,0.07988737059003244,9.580472946166992,119.92475,11.61672067642212,100
global,16,Q5.10,Q5.10,5,10,10,__all__,fake,50.0,2.4617309021949767,,,,0.07531381577286331,9.03199052810669,119.92475,11.595774412155151,100
global,16,Q4.11,Q4.11,4,11,11,__all__,fake,50.0,2.461749403476715,,,,0.07410245799970398,8.88671875,119.92475,11.123615264892578,100
global,16,Q3.12,Q3.12,3,12,12,__all__,fake,50.0,2.4616421675682068,,,,0.07479972122299039,8.970337867736816,119.92475,11.439443111419678,100
global,16,Q2.13,Q2.13,2,13,13,__all__,fake,50.0,2.01194313287735,,,,0.07466580495059222,8.954277992248535,119.92475,11.447067022323608,100
