bits,q_format,m,n,eval_mode,num_eval_files,pesq,estoi,sisnr,sdr,rtf,wall_time_seconds,audio_seconds,calib_seconds,calib_files
8,Q5.2,5,2,fake,50.0,1.1240868830680848,,,,0.09337487671610385,10.923792600631714,116.98856250000004,4.7446653842926025,16
8,Q4.3,4,3,fake,50.0,1.3051336908340454,,,,0.08634685504482198,10.1015944480896,116.98856250000004,2.312018871307373,16
8,Q3.4,3,4,fake,50.0,1.2368534421920776,,,,0.08463520096846612,9.901350498199463,116.98856250000004,2.258152723312378,16
8,Q2.5,2,5,fake,50.0,1.7523034405708313,,,,0.0838876734207793,9.81389832496643,116.98856250000004,2.2879581451416016,16
