sweep_mode,bits,q_format,base_q_format,m,n,base_n,target_group,eval_mode,num_eval_files,pesq,estoi,sisnr,sdr,rtf,wall_time_seconds,audio_seconds,calib_seconds,calib_files
baseline,float,FP32,FP32,,,,__none__,float,200.0,2.491985875964165,,,,0.09196970218460326,45.139724254608154,490.8108125,0.0,0
global,8,Q7.0,Q7.0,7,0,0,__all__,convert,200.0,1.496189780831337,,,,0.2598892295790086,127.55644392967224,490.8108125,10.389344453811646,64
global,8,Q6.1,Q6.1,6,1,1,__all__,convert,200.0,1.2129401111602782,,,,0.26540321540236655,130.26276779174805,490.8108125,9.980629920959473,64
global,8,Q5.2,Q5.2,5,2,2,__all__,convert,200.0,1.2544603615999221,,,,0.26083526900979914,128.0207703113556,490.8108125,10.319921970367432,64
global,8,Q4.3,Q4.3,4,3,3,__all__,convert,200.0,1.3554748511314392,,,,0.26612673232781825,130.6178777217865,490.8108125,10.060461282730103,64
global,8,Q3.4,Q3.4,3,4,4,__all__,convert,200.0,1.2599310582876206,,,,0.26079122229340773,127.99915170669556,490.8108125,9.990558624267578,64
global,8,Q2.5,Q2.5,2,5,5,__all__,convert,200.0,1.7738007342815398,,,,0.25880582462790264,127.0246970653534,490.8108125,10.288375854492188,64
global,8,Q1.6,Q1.6,1,6,6,__all__,convert,200.0,1.7736938148736954,,,,0.2578042404296924,126.53310871124268,490.8108125,10.386669397354126,64
global,8,Q0.7,Q0.7,0,7,7,__all__,convert,200.0,1.7736997520923614,,,,0.25885396488362716,127.04832482337952,490.8108125,10.139589071273804,64
