module_name	role	fake_quant	observer	dtype	qscheme	quant_min	quant_max	bits	channel_axis	scale_shape	scale_min	scale_max	scale_sample	zero_point_shape	zero_point_min	zero_point_max	zero_point_sample
encoder.en_convs.3.point_conv2.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	8	0.003627001540735364	0.008734463714063168	[0.003627,0.00846573,0.00730418,0.00873446,0.00626505,0.00563934,0.00398517,0.0041403]	8	0	0	[0,0,0,0,0,0,0,0]
encoder.en_convs.3.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.44389835000038147	0.44389835000038147	[0.443898]	1	65	65	[65]
encoder.en_convs.3.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.32708337903022766	0.32708337903022766	[0.327083]	1	6	6	[6]
encoder.en_convs.4.point_conv1.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0071368953213095665	0.03744221478700638	[0.0202379,0.0124772,0.0374422,0.00897444,0.0119566,0.0154765,0.0111612,0.0134763,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.4.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.9430052638053894	0.9430052638053894	[0.943005]	1	73	73	[73]
encoder.en_convs.4.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.29978013038635254	0.29978013038635254	[0.29978]	1	42	42	[42]
encoder.en_convs.4.depth_conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.002699359320104122	0.010932172648608685	[0.00355769,0.00499934,0.00430355,0.00758203,0.0109322,0.00602529,0.00395238,0.00658695,...]	16	-128	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.4.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.620119035243988	0.620119035243988	[0.620119]	1	59	59	[59]
encoder.en_convs.4.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.44534024596214294	0.44534024596214294	[0.44534]	1	19	19	[19]
encoder.en_convs.4.point_conv2.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	8	0.002488969825208187	0.006717649754136801	[0.00671765,0.00320054,0.0033948,0.00248897,0.00585076,0.00419342,0.00382388,0.00635568]	8	0	0	[0,0,0,0,0,0,0,0]
encoder.en_convs.4.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.3328855037689209	0.3328855037689209	[0.332886]	1	74	74	[74]
encoder.en_convs.4.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.3310020864009857	0.3310020864009857	[0.331002]	1	9	9	[9]
decoder.de_convs.0.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.2558707594871521	0.2558707594871521	[0.255871]	1	56	56	[56]
decoder.de_convs.0.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.1987326294183731	0.1987326294183731	[0.198733]	1	63	63	[63]
decoder.de_convs.0.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.5196118354797363	0.5196118354797363	[0.519612]	1	83	83	[83]
decoder.de_convs.0.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.22005736827850342	0.22005736827850342	[0.220057]	1	4	4	[4]
decoder.de_convs.0.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.23939719796180725	0.23939719796180725	[0.239397]	1	61	61	[61]
decoder.de_convs.0.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.14529703557491302	0.14529703557491302	[0.145297]	1	29	29	[29]
decoder.de_convs.1.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.526329755783081	0.526329755783081	[0.52633]	1	64	64	[64]
decoder.de_convs.1.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.4891451299190521	0.4891451299190521	[0.489145]	1	44	44	[44]
decoder.de_convs.1.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	3.782907247543335	3.782907247543335	[3.78291]	1	52	52	[52]
decoder.de_convs.1.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.9990930557250977	0.9990930557250977	[0.999093]	1	56	56	[56]
decoder.de_convs.1.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.1898324340581894	0.1898324340581894	[0.189832]	1	69	69	[69]
decoder.de_convs.1.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.13177362084388733	0.13177362084388733	[0.131774]	1	0	0	[0]
decoder.de_convs.2.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.37895241379737854	0.37895241379737854	[0.378952]	1	59	59	[59]
decoder.de_convs.2.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.4301316440105438	0.4301316440105438	[0.430132]	1	53	53	[53]
decoder.de_convs.2.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	1.3088568449020386	1.3088568449020386	[1.30886]	1	48	48	[48]
decoder.de_convs.2.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.5062125325202942	0.5062125325202942	[0.506213]	1	20	20	[20]
decoder.de_convs.2.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.25525179505348206	0.25525179505348206	[0.255252]	1	58	58	[58]
decoder.de_convs.2.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.16916398704051971	0.16916398704051971	[0.169164]	1	4	4	[4]
decoder.de_convs.3.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.650584876537323	0.650584876537323	[0.650585]	1	51	51	[51]
decoder.de_convs.3.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.8446856141090393	0.8446856141090393	[0.844686]	1	65	65	[65]
decoder.de_convs.4.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	31.842355728149414	31.842355728149414	[31.8424]	1	25	25	[25]
decoder.de_convs.4.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	1.7656875848770142	1.7656875848770142	[1.76569]	1	9	9	[9]
