sweep_mode,bits,q_format,base_q_format,m,n,base_n,target_group,eval_mode,num_eval_files,pesq,estoi,sisnr,sdr,rtf,wall_time_seconds,audio_seconds,calib_seconds,calib_files
baseline,float,FP32,FP32,,,,__none__,float,200.0,2.491985875964165,,,,0.07582185923690515,37.21418833732605,490.8108125,0.0,0
global,8,Q7.0,Q7.0,7,0,0,__all__,convert,200.0,1.128088385462761,,,,0.08229011771736874,40.3888795375824,490.8108125,7.355688095092773,64
global,8,Q6.1,Q6.1,6,1,1,__all__,convert,200.0,1.61302522957325,,,,0.07317915777824685,35.91712188720703,490.8108125,7.327123165130615,64
global,8,Q5.2,Q5.2,5,2,2,__all__,convert,200.0,2.1491886514425276,,,,0.07192157314141667,35.299885749816895,490.8108125,7.3613903522491455,64
global,8,Q4.3,Q4.3,4,3,3,__all__,convert,200.0,2.368504825234413,,,,0.0717843276049882,35.232524156570435,490.8108125,7.395907163619995,64
global,8,Q3.4,Q3.4,3,4,4,__all__,convert,200.0,2.5181990265846252,,,,0.07130788956322681,34.99868321418762,490.8108125,7.32982063293457,64
global,8,Q2.5,Q2.5,2,5,5,__all__,convert,200.0,2.250912236571312,,,,0.07176108327715752,35.221115589141846,490.8108125,7.303222417831421,64
global,8,Q1.6,Q1.6,1,6,6,__all__,convert,200.0,1.814212402701378,,,,0.07395415167731549,36.297497272491455,490.8108125,7.238316774368286,64
global,8,Q0.7,Q0.7,0,7,7,__all__,convert,200.0,1.219866032600403,,,,0.07852409407713576,38.54047441482544,490.8108125,7.268968820571899,64
