sweep_mode,bits,q_format,base_q_format,m,n,base_n,target_group,eval_mode,num_eval_files,pesq,estoi,sisnr,sdr,rtf,wall_time_seconds,audio_seconds,calib_seconds,calib_files
baseline,float,FP32,FP32,,,,__none__,float,200.0,2.491985875964165,,,,0.09573698395547263,46.988746881484985,490.8108125,0.0,0
global,8,Q7.0,Q7.0,7,0,0,__all__,convert,200.0,1.0824738228321076,,,,0.10205281918069163,50.088627099990845,490.8108125,10.71658444404602,64
global,8,Q6.1,Q6.1,6,1,1,__all__,convert,200.0,1.9566531598567962,,,,0.09058316887283858,44.45919871330261,490.8108125,9.740003108978271,64
global,8,Q5.2,Q5.2,5,2,2,__all__,convert,200.0,2.410553443431854,,,,0.08823033439786092,43.304402112960815,490.8108125,9.211164474487305,64
global,8,Q4.3,Q4.3,4,3,3,__all__,convert,200.0,2.4682769417762755,,,,0.08823371483457851,43.30606126785278,490.8108125,9.329909563064575,64
global,8,Q3.4,Q3.4,3,4,4,__all__,convert,200.0,2.5400175458192824,,,,0.08925665665042956,43.80813217163086,490.8108125,9.278791904449463,64
global,8,Q2.5,Q2.5,2,5,5,__all__,convert,200.0,2.1636845296621323,,,,0.09060137339165286,44.46813368797302,490.8108125,9.323674201965332,64
global,8,Q1.6,Q1.6,1,6,6,__all__,convert,200.0,1.6898493200540543,,,,0.09538755784468929,46.8172447681427,490.8108125,9.516726732254028,64
global,8,Q0.7,Q0.7,0,7,7,__all__,convert,200.0,1.3991214698553085,,,,0.0948120937492561,46.53480076789856,490.8108125,9.558642387390137,64
