sweep_mode,bits,q_format,base_q_format,m,n,base_n,target_group,eval_mode,num_eval_files,pesq,estoi,sisnr,sdr,rtf,wall_time_seconds,audio_seconds,calib_seconds,calib_files
baseline,float,FP32,FP32,,,,__none__,float,200.0,2.491985875964165,,,,0.08298832338608715,40.731566429138184,490.8108125,0.0,0
global,8,Q7.0,Q7.0,7,0,0,__all__,convert,200.0,1.110285757780075,,,,0.0865485212260908,42.47895002365112,490.8108125,8.02690577507019,64
global,8,Q6.1,Q6.1,6,1,1,__all__,convert,200.0,1.399416646361351,,,,0.07664456786179971,37.617982625961304,490.8108125,7.6976072788238525,64
global,8,Q5.2,Q5.2,5,2,2,__all__,convert,200.0,1.9634197425842286,,,,0.07270965159910367,35.686683177948,490.8108125,7.667853116989136,64
global,8,Q4.3,Q4.3,4,3,3,__all__,convert,200.0,2.130934377908707,,,,0.07600063571421703,37.30193376541138,490.8108125,7.484220504760742,64
global,8,Q3.4,Q3.4,3,4,4,__all__,convert,200.0,2.2346654105186463,,,,0.08029569211445935,39.40999388694763,490.8108125,8.133667230606079,64
global,8,Q2.5,Q2.5,2,5,5,__all__,convert,200.0,2.160161011219025,,,,0.07579772304504036,37.20234203338623,490.8108125,8.703194379806519,64
global,8,Q1.6,Q1.6,1,6,6,__all__,convert,200.0,1.8509572112560273,,,,0.07575033523887402,37.179083585739136,490.8108125,7.826883792877197,64
global,8,Q0.7,Q0.7,0,7,7,__all__,convert,200.0,1.532012135386467,,,,0.08298705748321518,40.730945110321045,490.8108125,7.5199432373046875,64
