sweep_mode,bits,q_format,base_q_format,m,n,base_n,target_group,eval_mode,num_eval_files,pesq,estoi,sisnr,sdr,rtf,wall_time_seconds,audio_seconds,calib_seconds,calib_files
global,16,Q8.7,Q8.7,8,7,7,__all__,fake,50.0,2.4550392913818357,,,,0.08447381802932896,10.130501508712769,119.92475,15.662482738494873,100
global,16,Q7.8,Q7.8,7,8,8,__all__,fake,50.0,2.464371123313904,,,,0.0810417841263999,9.718915700912476,119.92475,12.752369403839111,100
global,16,Q6.9,Q6.9,6,9,9,__all__,fake,50.0,2.4590607714653014,,,,0.07978380019028697,9.568052291870117,119.92475,12.607757091522217,100
global,16,Q5.10,Q5.10,5,10,10,__all__,fake,50.0,2.4596039986610414,,,,0.07924562019445051,9.503511190414429,119.92475,12.40327787399292,100
global,16,Q4.11,Q4.11,4,11,11,__all__,fake,50.0,1.7502323389053345,,,,0.09080797222683032,10.89012336730957,119.92475,14.036641836166382,100
global,16,Q3.12,Q3.12,3,12,12,__all__,fake,50.0,1.2468765568733216,,,,0.08542365338608555,10.244410276412964,119.92475,12.512723684310913,100
global,16,Q2.13,Q2.13,2,13,13,__all__,fake,50.0,1.72708172082901,,,,0.08277107540908181,9.926300525665283,119.92475,12.316490173339844,100
