module_name	role	fake_quant	observer	dtype	qscheme	quant_min	quant_max	bits	channel_axis	scale_shape	scale_min	scale_max	scale_sample	zero_point_shape	zero_point_min	zero_point_max	zero_point_sample
encoder.en_convs.0.conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0014676719438284636	0.007431347388774157	[0.00743135,0.00146767,0.00325299,0.00483191,0.00524111,0.00210694,0.00291657,0.00453248,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.0.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.4393273591995239	0.4393273591995239	[0.439327]	1	77	77	[77]
encoder.en_convs.0.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.37420207262039185	0.37420207262039185	[0.374202]	1	61	61	[61]
encoder.en_convs.1.conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.004068623296916485	0.01441086083650589	[0.00470507,0.00811661,0.0057961,0.00916801,0.00552191,0.00526477,0.0144109,0.00621085,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.1.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.35546496510505676	0.35546496510505676	[0.355465]	1	67	67	[67]
encoder.en_convs.1.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.24294044077396393	0.24294044077396393	[0.24294]	1	41	41	[41]
encoder.en_convs.2.point_conv1.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.005390816368162632	0.01829463429749012	[0.00635948,0.01597,0.00542654,0.01521,0.0101293,0.00586653,0.00615628,0.00714491,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.2.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.5278177261352539	0.5278177261352539	[0.527818]	1	70	70	[70]
encoder.en_convs.2.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.2261512130498886	0.2261512130498886	[0.226151]	1	39	39	[39]
encoder.en_convs.2.depth_conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0028227963484823704	0.014395542442798615	[0.00707411,0.00686603,0.00809811,0.0028228,0.00713151,0.0139254,0.0070421,0.00744788,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.2.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.4564988613128662	0.4564988613128662	[0.456499]	1	62	62	[62]
encoder.en_convs.2.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.2738991975784302	0.2738991975784302	[0.273899]	1	21	21	[21]
encoder.en_convs.2.point_conv2.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	8	0.002279346575960517	0.006818244233727455	[0.00283759,0.00440095,0.00388219,0.00254258,0.00227935,0.00681824,0.00603554,0.00303386]	8	0	0	[0,0,0,0,0,0,0,0]
encoder.en_convs.2.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.2396128624677658	0.2396128624677658	[0.239613]	1	58	58	[58]
encoder.en_convs.2.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.29015323519706726	0.29015323519706726	[0.290153]	1	29	29	[29]
encoder.en_convs.3.point_conv1.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.003772278083488345	0.01490183174610138	[0.0149018,0.00933289,0.00590661,0.00496906,0.00683566,0.00750786,0.00985633,0.00981961,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.3.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.6680324673652649	0.6680324673652649	[0.668032]	1	72	72	[72]
encoder.en_convs.3.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.24417543411254883	0.24417543411254883	[0.244175]	1	48	48	[48]
