sweep_mode,bits,q_format,base_q_format,m,n,base_n,target_group,eval_mode,num_eval_files,pesq,estoi,sisnr,sdr,rtf,wall_time_seconds,audio_seconds,calib_seconds,calib_files
baseline,float,FP32,FP32,,,,__none__,float,200.0,2.491985875964165,,,,0.07944328723466369,38.99162435531616,490.8108125,0.0,0
global,8,Q7.0,Q7.0,7,0,0,__all__,convert,200.0,1.2861962413787842,,,,0.08627666299804047,42.345519065856934,490.8108125,8.473617792129517,64
global,8,Q6.1,Q6.1,6,1,1,__all__,convert,200.0,1.2680679208040238,,,,0.08469057850899246,41.56705164909363,490.8108125,8.07669734954834,64
global,8,Q5.2,Q5.2,5,2,2,__all__,convert,200.0,1.1135583728551866,,,,0.09126993186770734,44.79626941680908,490.8108125,8.139012098312378,64
global,8,Q4.3,Q4.3,4,3,3,__all__,convert,200.0,1.2261668211221695,,,,0.09005404430329632,44.199498653411865,490.8108125,8.219491958618164,64
global,8,Q3.4,Q3.4,3,4,4,__all__,convert,200.0,1.1840714532136918,,,,0.08588973147864544,42.155608892440796,490.8108125,8.186937093734741,64
global,8,Q2.5,Q2.5,2,5,5,__all__,convert,200.0,1.656797234416008,,,,0.08259838255422401,40.54017925262451,490.8108125,8.122479438781738,64
global,8,Q1.6,Q1.6,1,6,6,__all__,convert,200.0,1.758520597219467,,,,0.08386613910438462,41.162407875061035,490.8108125,8.166024446487427,64
global,8,Q0.7,Q0.7,0,7,7,__all__,convert,200.0,1.7585373789072036,,,,0.08418528652836221,41.31904888153076,490.8108125,8.31708288192749,64
