bits,q_format,m,n,eval_mode,num_eval_files,pesq,estoi,sisnr,sdr,rtf,wall_time_seconds,audio_seconds,calib_seconds,calib_files
8,Q2.5,2,5,fake,50.0,1.7656089282035827,,,,0.08694568648096557,10.34162425994873,118.94350000000003,9.126612663269043,50
8,Q1.6,1,6,fake,50.0,1.7661104702949524,,,,0.08379940952817903,9.967395067214966,118.94350000000003,6.81916880607605,50
8,Q0.7,0,7,fake,50.0,1.7661078238487244,,,,0.0866860776559996,10.310745477676392,118.94350000000003,7.09643030166626,50
